"participant_id","study","age","gender","svo_angle_ring","svo_angle_slider","svo_angle_mean","condition_preference_rating"
"pilot_97","pilot",25,"diverse",40.3141001604973,NA,NA,NA
"pilot_98","pilot",21,"female",37.4505782317367,NA,NA,NA
"pilot_99","pilot",27,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_100","pilot",32,"female",15.4221613187387,NA,NA,NA
"pilot_101","pilot",51,"female",15.4221613187387,NA,NA,NA
"pilot_102","pilot",22,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_103","pilot",22,"female",31.2637316943774,NA,NA,NA
"pilot_104","pilot",26,"female",-1.6491765014996e-14,NA,NA,NA
"pilot_105","pilot",49,"female",45,NA,NA,NA
"pilot_106","pilot",19,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_107","pilot",24,"male",14.0362434679265,NA,NA,NA
"pilot_108","pilot",31,"female",38.3333401090986,NA,NA,NA
"pilot_109","pilot",26,"female",37.6942404666892,NA,NA,NA
"pilot_110","pilot",24,"female",45,NA,NA,NA
"pilot_111","pilot",39,"female",59.9816325723909,NA,NA,NA
"pilot_112","pilot",25,"female",37.6476206401076,NA,NA,NA
"pilot_113","pilot",31,"female",14.995079129176,NA,NA,NA
"pilot_114","pilot",23,"female",76.5042667192042,NA,NA,NA
"pilot_115","pilot",23,"female",-11.0035408517495,NA,NA,NA
"pilot_116","pilot",32,"female",36.1193408494797,NA,NA,NA
"pilot_117","pilot",28,"female",1.02303018866782,NA,NA,NA
"pilot_118","pilot",22,"female",52.1250163489018,NA,NA,NA
"pilot_119","pilot",26,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_120","pilot",40,"female",11.8214883406072,NA,NA,NA
"pilot_121","pilot",19,"male",3.57633437499733,NA,NA,NA
"pilot_122","pilot",25,"female",-11.3099324740202,NA,NA,NA
"pilot_123","pilot",28,"female",22.3801350519596,NA,NA,NA
"pilot_124","pilot",31,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_125","pilot",28,"female",29.9816393688493,NA,NA,NA
"pilot_126","pilot",27,"female",67.6198649480404,NA,NA,NA
"pilot_127","pilot",24,"female",55.1246716553978,NA,NA,NA
"pilot_128","pilot",24,"female",36.1193408494797,NA,NA,NA
"pilot_129","pilot",30,"female",18.7780332224455,NA,NA,NA
"pilot_130","pilot",25,"female",25.0835940061909,NA,NA,NA
"pilot_131","pilot",23,"female",34.7778313663638,NA,NA,NA
"pilot_132","pilot",49,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_133","pilot",29,"female",6.22582906442575,NA,NA,NA
"pilot_134","pilot",22,"male",53.8806591505203,NA,NA,NA
"pilot_135","pilot",29,"female",-9.4623222080256,NA,NA,NA
"pilot_136","pilot",29,"female",59.9816325723909,NA,NA,NA
"pilot_137","pilot",25,"female",45,NA,NA,NA
"pilot_138","pilot",39,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_139","pilot",25,"female",45,NA,NA,NA
"pilot_140","pilot",33,"male",45,NA,NA,NA
"pilot_141","pilot",44,"female",38.65980825409,NA,NA,NA
"pilot_142","pilot",50,"male",62.9044475062482,NA,NA,NA
"pilot_143","pilot",19,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_144","pilot",23,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_145","pilot",35,"female",15.4221613187387,NA,NA,NA
"pilot_146","pilot",38,"female",-7.12501634890187,NA,NA,NA
"pilot_147","pilot",36,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_148","pilot",22,"female",41.8778695378843,NA,NA,NA
"pilot_149","pilot",22,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_150","pilot",23,"female",45,NA,NA,NA
"pilot_151","pilot",22,"female",45,NA,NA,NA
"pilot_152","pilot",54,"male",45,NA,NA,NA
"pilot_153","pilot",51,"male",7.72182580013096,NA,NA,NA
"pilot_154","pilot",26,"female",-8.58362148011397,NA,NA,NA
"pilot_155","pilot",24,"male",38.6598082540901,NA,NA,NA
"pilot_156","pilot",27,"female",45,NA,NA,NA
"pilot_157","pilot",21,"female",30.1137331509824,NA,NA,NA
"pilot_158","pilot",33,"female",30.1137331509824,NA,NA,NA
"pilot_159","pilot",24,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_160","pilot",28,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_161","pilot",23,"male",55.0079798014414,NA,NA,NA
"pilot_162","pilot",35,"male",49.3987053549955,NA,NA,NA
"pilot_163","pilot",49,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_164","pilot",21,"female",29.7448812969422,NA,NA,NA
"pilot_165","pilot",48,"female",53.8806591505203,NA,NA,NA
"pilot_166","pilot",29,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_167","pilot",34,"female",-7.43140797117252,NA,NA,NA
"pilot_168","pilot",44,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_169","pilot",33,"female",1.27222187258541e-14,NA,NA,NA
"pilot_170","pilot",37,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_171","pilot",47,"male",30.1137331509824,NA,NA,NA
"pilot_172","pilot",43,"male",37.6476206401076,NA,NA,NA
"pilot_173","pilot",26,"female",7.72182580013096,NA,NA,NA
"pilot_174","pilot",22,"female",45.7848246029919,NA,NA,NA
"pilot_175","pilot",25,"female",45,NA,NA,NA
"pilot_176","pilot",37,"female",51.842773412631,NA,NA,NA
"pilot_177","pilot",24,"female",37.4505782317367,NA,NA,NA
"pilot_178","pilot",43,"male",49.2678933002908,NA,NA,NA
"pilot_179","pilot",42,"male",35.362461887069,NA,NA,NA
"pilot_180","pilot",24,"female",-61.1892062570269,NA,NA,NA
"pilot_181","pilot",23,"male",14.995079129176,NA,NA,NA
"pilot_182","pilot",49,"male",14.4702941000659,NA,NA,NA
"pilot_183","pilot",26,"female",10.0079798014413,NA,NA,NA
"pilot_184","pilot",23,"female",-11.0702025779394,NA,NA,NA
"pilot_185","pilot",34,"female",36.1193408494797,NA,NA,NA
"pilot_186","pilot",32,"male",45,NA,NA,NA
"pilot_187","pilot",12,"diverse",1.90833280887811e-13,NA,NA,NA
"pilot_188","pilot",41,"female",49.3987053549955,NA,NA,NA
"pilot_189","pilot",39,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_190","pilot",39,"male",45,NA,NA,NA
"pilot_191","pilot",26,"male",-1.10170611520639,NA,NA,NA
"pilot_192","pilot",26,"male",30.9637565320735,NA,NA,NA
"pilot_193","pilot",32,"male",-10.8855270546588,NA,NA,NA
"pilot_194","pilot",38,"male",45,NA,NA,NA
"pilot_195","pilot",4,"diverse",45,NA,NA,NA
"pilot_196","pilot",33,"female",37.3493490446406,NA,NA,NA
"pilot_197","pilot",21,"female",-87.3369992339329,NA,NA,NA
"pilot_198","pilot",26,"female",7.90716270295843,NA,NA,NA
"pilot_199","pilot",29,"male",59.7435628364707,NA,NA,NA
"pilot_200","pilot",20,"female",50.7927964950322,NA,NA,NA
"pilot_201","pilot",39,"female",35.5376777919744,NA,NA,NA
"pilot_202","pilot",23,"male",45.8069294551024,NA,NA,NA
"pilot_203","pilot",37,"female",15.4221613187387,NA,NA,NA
"pilot_204","pilot",23,"female",27.0955524937518,NA,NA,NA
"pilot_205","pilot",24,"female",39.8055710922652,NA,NA,NA
"pilot_206","pilot",22,"female",7.81529354676685,NA,NA,NA
"pilot_207","pilot",18,"female",67.2490236572124,NA,NA,NA
"pilot_208","pilot",41,"female",37.6942404666892,NA,NA,NA
"pilot_209","pilot",34,"female",52.5494217682633,NA,NA,NA
"pilot_210","pilot",21,"female",62.9044475062482,NA,NA,NA
"pilot_211","pilot",33,"male",11.9441771884463,NA,NA,NA
"pilot_212","pilot",29,"female",-7.72182580013098,NA,NA,NA
"pilot_213","pilot",50,"female",37.4505782317367,NA,NA,NA
"pilot_214","pilot",22,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_215","pilot",58,"female",59.7435628364707,NA,NA,NA
"pilot_216","pilot",26,"female",12.0114783863654,NA,NA,NA
"pilot_217","pilot",30,"male",37.4505782317367,NA,NA,NA
"pilot_218","pilot",26,"female",51.842773412631,NA,NA,NA
"pilot_219","pilot",32,"male",30.1137331509824,NA,NA,NA
"pilot_220","pilot",28,"female",30.1137331509824,NA,NA,NA
"pilot_221","pilot",25,"female",90,NA,NA,NA
"pilot_222","pilot",53,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_223","pilot",36,"female",3.23970029610212,NA,NA,NA
"pilot_224","pilot",34,"female",29.7448812969422,NA,NA,NA
"pilot_225","pilot",30,"male",37.4505782317367,NA,NA,NA
"pilot_226","pilot",40,"female",45,NA,NA,NA
"pilot_227","pilot",30,"female",-1.53544019105135e-14,NA,NA,NA
"pilot_228","pilot",26,"female",7.72182580013096,NA,NA,NA
"pilot_229","pilot",29,"female",1.02303018866782,NA,NA,NA
"pilot_230","pilot",32,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_231","pilot",36,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_232","pilot",21,"male",22.5430610000579,NA,NA,NA
"pilot_233","pilot",24,"male",37.4505782317367,NA,NA,NA
"pilot_234","pilot",29,"male",37.2664019009771,NA,NA,NA
"pilot_235","pilot",27,"female",-7.72182580013098,NA,NA,NA
"pilot_236","pilot",30,"male",7.00126755749531,NA,NA,NA
"pilot_237","pilot",21,"female",29.9816393688493,NA,NA,NA
"pilot_238","pilot",57,"male",1.10170611520635,NA,NA,NA
"pilot_239","pilot",23,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_240","pilot",33,"male",7.43140797117249,NA,NA,NA
"pilot_241","pilot",21,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_242","pilot",26,"female",23.1985905136481,NA,NA,NA
"pilot_243","pilot",26,"female",50.3321588816596,NA,NA,NA
"pilot_244","pilot",20,"male",29.9816393688493,NA,NA,NA
"pilot_245","pilot",27,"female",6.22582906442576,NA,NA,NA
"pilot_246","pilot",32,"female",10.0079798014413,NA,NA,NA
"pilot_247","pilot",29,"female",3.23970029610212,NA,NA,NA
"pilot_248","pilot",29,"female",37.4505782317367,NA,NA,NA
"pilot_249","pilot",31,"male",59.7435628364707,NA,NA,NA
"pilot_250","pilot",19,"female",51.842773412631,NA,NA,NA
"pilot_251","pilot",23,"female",3.73139699916042,NA,NA,NA
"pilot_252","pilot",20,"male",-78.4078245897089,NA,NA,NA
"pilot_253","pilot",27,"female",13.7815972356536,NA,NA,NA
"pilot_254","pilot",33,"female",20.5560452195834,NA,NA,NA
"pilot_255","pilot",23,"male",39.5226312711711,NA,NA,NA
"pilot_256","pilot",54,"female",35.676408221862,NA,NA,NA
"pilot_257","pilot",26,"male",-22.3801350519596,NA,NA,NA
"pilot_258","pilot",22,"female",7.00126755749531,NA,NA,NA
"pilot_259","pilot",24,"female",-13.7815972356536,NA,NA,NA
"pilot_260","pilot",28,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_261","pilot",22,"female",14.995079129176,NA,NA,NA
"pilot_262","pilot",23,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_263","pilot",40,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_264","pilot",43,"male",-1.48425885134964e-14,NA,NA,NA
"pilot_265","pilot",32,"female",45,NA,NA,NA
"pilot_266","pilot",24,"female",37.4505782317367,NA,NA,NA
"pilot_267","pilot",33,"female",45,NA,NA,NA
"pilot_268","pilot",28,"female",45,NA,NA,NA
"pilot_269","pilot",35,"female",44.1930705448976,NA,NA,NA
"pilot_270","pilot",24,"male",64.0934920004856,NA,NA,NA
"pilot_271","pilot",28,"female",37.4505782317367,NA,NA,NA
"pilot_272","pilot",31,"female",37.6942404666892,NA,NA,NA
"pilot_273","pilot",29,"male",52.5494217682633,NA,NA,NA
"pilot_274","pilot",26,"female",21.9911299171771,NA,NA,NA
"pilot_275","pilot",25,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_276","pilot",35,"female",45,NA,NA,NA
"pilot_277","pilot",41,"female",1.68468431789626,NA,NA,NA
"pilot_278","pilot",26,"female",36.1193408494797,NA,NA,NA
"pilot_279","pilot",20,"female",37.6942404666892,NA,NA,NA
"pilot_280","pilot",26,"female",44.1930705448976,NA,NA,NA
"pilot_281","pilot",47,"female",50.7927964950322,NA,NA,NA
"pilot_282","pilot",21,"female",36.1193408494797,NA,NA,NA
"pilot_283","pilot",26,"female",-1.6491765014996e-14,NA,NA,NA
"pilot_284","pilot",25,"female",26.565051177078,NA,NA,NA
"pilot_285","pilot",40,"female",31.6075022462489,NA,NA,NA
"pilot_286","pilot",24,"female",45,NA,NA,NA
"pilot_287","pilot",21,"female",51.3401917459099,NA,NA,NA
"pilot_288","pilot",25,"male",36.1193408494797,NA,NA,NA
"pilot_289","pilot",40,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_290","pilot",33,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_291","pilot",34,"female",20.9245017449212,NA,NA,NA
"pilot_292","pilot",25,"female",-3.27048792318359,NA,NA,NA
"pilot_293","pilot",34,"female",43.492564241225,NA,NA,NA
"pilot_294","pilot",41,"female",41.8201698801358,NA,NA,NA
"pilot_295","pilot",24,"female",7.72182580013096,NA,NA,NA
"pilot_296","pilot",25,"female",-1.48425885134964e-14,NA,NA,NA
"pilot_297","pilot",28,"male",7.98932676639688,NA,NA,NA
"pilot_298","pilot",46,"male",29.1974860460645,NA,NA,NA
"pilot_299","pilot",21,"female",22.4427533652943,NA,NA,NA
"pilot_300","pilot",31,"female",52.6506509553594,NA,NA,NA
"pilot_301","pilot",22,"female",38.157226587369,NA,NA,NA
"pilot_302","pilot",25,"female",15.4221613187387,NA,NA,NA
"pilot_303","pilot",28,"female",37.6942404666892,NA,NA,NA
"pilot_304","pilot",32,"female",-16.260204708312,NA,NA,NA
"pilot_305","pilot",22,"male",28.3007557660064,NA,NA,NA
"pilot_306","pilot",27,"female",15.4221613187387,NA,NA,NA
