"participant_id","study","age","gender","svo_angle_ring","svo_angle_slider","svo_angle_mean","condition_preference_rating"
"study2_1","study2",27,"female",-1.1523459115664,16.9619533812933,7.90480373486345,NA
"study2_2","study2",23,"female",15.0791339749611,40.5273536393783,27.8032438071697,NA
"study2_3","study2",27,"female",-7.53733805729811,19.4170659861462,5.93986396442404,NA
"study2_4","study2",32,"female",30.0212253575505,40.7281890013095,35.37470717943,NA
"study2_5","study2",34,"female",26.6548564005779,33.6683151430032,30.1615857717905,NA
"study2_6","study2",26,"female",5.09368285316337,24.1220717650178,14.6078773090906,NA
"study2_7","study2",32,"female",15.0791339749611,25.7948693936012,20.4370016842811,NA
"study2_8","study2",23,"female",-21.2620734010833,16.9619533812933,-2.150060009895,NA
"study2_9","study2",32,"male",0,16.9619533812933,8.48097669064665,NA
"study2_11","study2",28,"male",0,16.9619533812933,8.48097669064665,NA
"study2_12","study2",34,"male",37.7697573607484,40.9991945322146,39.3844759464815,NA
"study2_14","study2",34,"female",0,16.9619533812933,8.48097669064665,NA
"study2_15","study2",25,"female",0,16.9619533812933,8.48097669064665,NA
"study2_16","study2",11,"female",0,16.9619533812933,8.48097669064665,NA
"study2_17","study2",33,"male",7.53733805729811,19.9298535472136,13.7335958022559,NA
"study2_18","study2",56,"female",37.5068128696839,41.384570012072,39.445691440878,NA
"study2_19","study2",67,"male",0,16.9619533812933,8.48097669064665,NA
"study2_20","study2",30,"female",0,16.9619533812933,8.48097669064665,NA
"study2_21","study2",28,"female",0,16.9619533812933,8.48097669064665,NA
"study2_22","study2",22,"female",38.2835278964403,38.2528619515734,38.2681949240068,NA
"study2_23","study2",20,"female",24.6915581634781,30.3607622360074,27.5261601997427,NA
"study2_24","study2",25,"male",0,16.9619533812933,8.48097669064665,NA
"study2_25","study2",27,"female",0,16.9619533812933,8.48097669064665,NA
"study2_26","study2",38,"male",25.1699959160965,34.5568059365031,29.8634009262998,NA
"study2_28","study2",24,"female",43.1858080909701,35.0500140324312,39.1179110617007,NA
"study2_29","study2",26,"female",71.2001148413473,44.1745776390859,57.6873462402166,NA
"study2_30","study2",35,"male",0,16.9619533812933,8.48097669064665,NA
"study2_31","study2",26,"male",0,16.9619533812933,8.48097669064665,NA
"study2_32","study2",60,"male",-8.98156929931156,28.1416012322617,9.58001596647507,NA
"study2_33","study2",25,"male",0,14.3032658067437,7.15163290337185,NA
"study2_34","study2",23,"male",0,16.9619533812933,8.48097669064665,NA
"study2_37","study2",28,"female",27.9736799124164,42.4283379632255,35.201008937821,NA
"study2_38","study2",67,"male",35.116881410898,44.4632032812896,39.7900423460938,NA
"study2_39","study2",37,"male",0,16.9619533812933,8.48097669064665,NA
"study2_40","study2",20,"female",7.47155917659238,34.1783306016118,20.8249448891021,NA
