"uniqueID";"item";"self_A";"other_A";"self_B";"other_B";"choice_self";"choice_other";"optionSide";"count_trials"
4;"2";"+2,93";"+1,52";"+2,73";"+2,00";273;200;"B_left";5
4;"3";"+2,73";"+2,00";"+2,41";"+2,41";241;241;"B_left";6
4;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"A_left";7
4;"23";"+2,73";"-0,00";"+2,93";"+0,48";293;48;"A_left";8
4;"1";"+3,00";"+1,00";"+2,93";"+1,52";300;100;"B_left";9
4;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"B_left";10
4;"12";"-0,93";"+1,52";"-1,00";"+1,00";-93;152;"B_left";11
4;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"A_left";12
4;"13";"-1,00";"+1,00";"-0,93";"+0,48";-93;48;"B_left";13
4;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"B_left";14
4;"11";"-0,73";"+2,00";"-0,93";"+1,52";-73;200;"A_left";15
4;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"A_left";16
4;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"A_left";17
4;"17";"-0,00";"-0,73";"+0,48";"-0,93";48;-93;"B_left";18
4;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"B_left";19
4;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"A_left";20
4;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"A_left";21
4;"15";"-0,73";"-0,00";"-0,41";"-0,41";-41;-41;"B_left";22
4;"10";"-0,41";"+2,41";"-0,73";"+2,00";-41;241;"B_left";23
5;"1";"+3,00";"+1,00";"+2,93";"+1,52";300;100;"B_left";0
5;"13";"-1,00";"+1,00";"-0,93";"+0,48";-93;48;"A_left";1
5;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"A_left";2
5;"24";"+2,93";"+0,48";"+3,00";"+1,00";293;48;"A_left";3
5;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"B_left";4
5;"16";"-0,41";"-0,41";"-0,00";"-0,73";0;-73;"A_left";5
5;"2";"+2,93";"+1,52";"+2,73";"+2,00";293;152;"B_left";6
5;"11";"-0,73";"+2,00";"-0,93";"+1,52";-93;152;"A_left";7
5;"23";"+2,73";"-0,00";"+2,93";"+0,48";273;0;"A_left";8
5;"17";"-0,00";"-0,73";"+0,48";"-0,93";48;-93;"A_left";9
5;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"A_left";10
5;"22";"+2,41";"-0,41";"+2,73";"-0,00";241;-41;"B_left";11
5;"14";"-0,93";"+0,48";"-0,73";"-0,00";-73;0;"B_left";12
5;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"B_left";13
5;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"A_left";14
5;"18";"+0,48";"-0,93";"+1,00";"-1,00";100;-100;"A_left";15
5;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"A_left";16
5;"15";"-0,73";"-0,00";"-0,41";"-0,41";-41;-41;"A_left";17
5;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"A_left";18
5;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"B_left";19
5;"12";"-0,93";"+1,52";"-1,00";"+1,00";-100;100;"A_left";20
5;"10";"-0,41";"+2,41";"-0,73";"+2,00";-41;241;"B_left";21
5;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"A_left";22
5;"3";"+2,73";"+2,00";"+2,41";"+2,41";273;200;"A_left";23
6;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"B_left";0
6;"17";"-0,00";"-0,73";"+0,48";"-0,93";48;-93;"B_left";1
6;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"A_left";2
6;"15";"-0,73";"-0,00";"-0,41";"-0,41";-73;0;"A_left";3
6;"2";"+2,93";"+1,52";"+2,73";"+2,00";293;152;"B_left";4
6;"12";"-0,93";"+1,52";"-1,00";"+1,00";-100;100;"B_left";5
6;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"A_left";6
6;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"A_left";7
6;"14";"-0,93";"+0,48";"-0,73";"-0,00";-73;0;"A_left";8
6;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"A_left";9
6;"1";"+3,00";"+1,00";"+2,93";"+1,52";300;100;"A_left";10
6;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"B_left";11
6;"23";"+2,73";"-0,00";"+2,93";"+0,48";293;48;"B_left";12
6;"13";"-1,00";"+1,00";"-0,93";"+0,48";-93;48;"B_left";13
6;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"B_left";14
6;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"B_left";15
6;"3";"+2,73";"+2,00";"+2,41";"+2,41";273;200;"B_left";16
6;"11";"-0,73";"+2,00";"-0,93";"+1,52";-93;152;"A_left";17
6;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"B_left";18
6;"16";"-0,41";"-0,41";"-0,00";"-0,73";0;-73;"A_left";19
6;"10";"-0,41";"+2,41";"-0,73";"+2,00";-41;241;"B_left";20
6;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"B_left";21
6;"18";"+0,48";"-0,93";"+1,00";"-1,00";100;-100;"B_left";22
6;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"B_left";23
7;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"A_left";0
7;"13";"-1,00";"+1,00";"-0,93";"+0,48";-93;48;"B_left";1
7;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"A_left";2
7;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"A_left";3
7;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"B_left";4
7;"14";"-0,93";"+0,48";"-0,73";"-0,00";-73;0;"A_left";5
7;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"A_left";6
7;"2";"+2,93";"+1,52";"+2,73";"+2,00";273;200;"B_left";7
7;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"B_left";8
7;"17";"-0,00";"-0,73";"+0,48";"-0,93";48;-93;"B_left";9
7;"10";"-0,41";"+2,41";"-0,73";"+2,00";-41;241;"B_left";10
7;"12";"-0,93";"+1,52";"-1,00";"+1,00";-93;152;"A_left";11
7;"3";"+2,73";"+2,00";"+2,41";"+2,41";273;200;"A_left";12
7;"16";"-0,41";"-0,41";"-0,00";"-0,73";0;-73;"B_left";13
7;"1";"+3,00";"+1,00";"+2,93";"+1,52";300;100;"A_left";14
7;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"A_left";15
7;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"B_left";16
7;"18";"+0,48";"-0,93";"+1,00";"-1,00";100;-100;"B_left";17
7;"15";"-0,73";"-0,00";"-0,41";"-0,41";-41;-41;"A_left";18
7;"11";"-0,73";"+2,00";"-0,93";"+1,52";-73;200;"A_left";19
7;"23";"+2,73";"-0,00";"+2,93";"+0,48";293;48;"B_left";20
7;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"A_left";21
7;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"B_left";22
7;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"A_left";23
8;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"A_left";0
8;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"B_left";1
8;"12";"-0,93";"+1,52";"-1,00";"+1,00";-100;100;"B_left";2
8;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"A_left";3
8;"9";"+0,00";"+2,73";"-0,41";"+2,41";-41;241;"A_left";4
8;"3";"+2,73";"+2,00";"+2,41";"+2,41";273;200;"A_left";5
8;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"B_left";6
8;"15";"-0,73";"-0,00";"-0,41";"-0,41";-41;-41;"A_left";7
8;"18";"+0,48";"-0,93";"+1,00";"-1,00";100;-100;"A_left";8
8;"16";"-0,41";"-0,41";"-0,00";"-0,73";-41;-41;"A_left";9
8;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"B_left";10
8;"2";"+2,93";"+1,52";"+2,73";"+2,00";293;152;"B_left";11
8;"10";"-0,41";"+2,41";"-0,73";"+2,00";-73;200;"A_left";12
8;"17";"-0,00";"-0,73";"+0,48";"-0,93";48;-93;"B_left";13
8;"11";"-0,73";"+2,00";"-0,93";"+1,52";-93;152;"A_left";14
8;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"B_left";15
8;"1";"+3,00";"+1,00";"+2,93";"+1,52";300;100;"B_left";16
8;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"B_left";17
8;"14";"-0,93";"+0,48";"-0,73";"-0,00";-93;48;"A_left";18
8;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"A_left";19
8;"23";"+2,73";"-0,00";"+2,93";"+0,48";293;48;"B_left";20
8;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"B_left";21
8;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"B_left";22
8;"13";"-1,00";"+1,00";"-0,93";"+0,48";-93;48;"A_left";23
9;"19";"+1,00";"-1,00";"+1,52";"-0,93";152;-93;"B_left";0
9;"8";"+0,48";"+2,93";"+0,00";"+2,73";48;293;"B_left";1
9;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"B_left";2
9;"15";"-0,73";"-0,00";"-0,41";"-0,41";-41;-41;"B_left";3
9;"4";"+2,41";"+2,41";"+2,00";"+2,73";241;241;"A_left";4
9;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"A_left";5
9;"1";"+3,00";"+1,00";"+2,93";"+1,52";293;152;"B_left";6
9;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"A_left";7
9;"17";"-0,00";"-0,73";"+0,48";"-0,93";0;-73;"B_left";8
9;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"A_left";9
9;"23";"+2,73";"-0,00";"+2,93";"+0,48";293;48;"B_left";10
9;"16";"-0,41";"-0,41";"-0,00";"-0,73";0;-73;"B_left";11
9;"5";"+2,00";"+2,73";"+1,52";"+2,93";200;273;"B_left";12
9;"2";"+2,93";"+1,52";"+2,73";"+2,00";273;200;"A_left";13
9;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"A_left";14
9;"11";"-0,73";"+2,00";"-0,93";"+1,52";-73;200;"B_left";15
9;"3";"+2,73";"+2,00";"+2,41";"+2,41";241;241;"A_left";16
9;"12";"-0,93";"+1,52";"-1,00";"+1,00";-93;152;"B_left";17
9;"22";"+2,41";"-0,41";"+2,73";"-0,00";273;0;"B_left";18
9;"18";"+0,48";"-0,93";"+1,00";"-1,00";100;-100;"B_left";19
9;"14";"-0,93";"+0,48";"-0,73";"-0,00";-73;0;"A_left";20
9;"13";"-1,00";"+1,00";"-0,93";"+0,48";-93;48;"B_left";21
9;"10";"-0,41";"+2,41";"-0,73";"+2,00";-41;241;"A_left";22
9;"6";"+1,52";"+2,93";"+1,00";"+3,00";152;293;"B_left";23
10;"13";"-1,00";"+1,00";"-0,93";"+0,48";-93;48;"A_left";0
10;"21";"+2,00";"-0,73";"+2,41";"-0,41";241;-41;"A_left";1
10;"9";"+0,00";"+2,73";"-0,41";"+2,41";0;273;"B_left";2
10;"15";"-0,73";"-0,00";"-0,41";"-0,41";-73;0;"A_left";3
10;"20";"+1,52";"-0,93";"+2,00";"-0,73";200;-73;"B_left";4
10;"24";"+2,93";"+0,48";"+3,00";"+1,00";300;100;"B_left";5
10;"7";"+1,00";"+3,00";"+0,48";"+2,93";100;300;"A_left";6
10;"23";"+2,73";"-0,00";"+2,93";"+0,48";293;48;"A_left";7
10;"2";"+2,93";"+1,52";"+2,73";"+2,00";293;152;"B_left";8
10;"16";"-0,41";"-0,41";"-0,00";"-0,73";0;-73;"B_left";9
10;"12";"-0,93";"+1,52";"-1,00";"+1,00";-100;100;"A_left";10
